"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Calleida viridipennis",9,10,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Calleida","Calleida","viridipennis",""
"Anisodactylus nigerrimus",9.2,10.8,,,"Noonan 1996",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","nigerrimus",""
"Pterostichus adstrictus",9.5,13,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Bothriopterus","adstrictus",""
"Pterostichus mutus",9.5,13.5,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Bothriopterus","mutus",""
"Pterostichus pensylvanicus",9.5,12,,"dimorphic","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Bothriopterus","pensylvanicus",""
"Brachinus fumans",9.9,15.4,,,"Erwin 1970a","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","fumans",""
"Amara fortis",10,11.5,,"wings rudimentary","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Neopercosia","fortis",""
"Amara pennsylvanica",10,11.7,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Curtonotus","pennsylvanica",""
"Anisodactylus dulcicollis",10,11,,,"Noonan 1973","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","dulcicollis",""
"Calathus fuscipes",10,15,,"subapterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as larvae","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Sphodrini",,"Calathus","Calathus","fuscipes",""
"Nebria brevicollis",10,,,"macropterous","Lindroth 1969","https://doi.org/10.1080/00379271.2009.10697618","https://doi.org/10.1080/00379271.2009.10697618",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Nebriinae","Nebriini",,"Nebria","Nebria","brevicollis",""
"Pterostichus caudicalis",10,13,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Lamenius","caudicalis",""
"Anisodactylus harrisii",10.3,13,,,"Noonan 1996","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","harrisii",""
"Anisodactylus nigrita",10.5,12.8,,,"Noonan 1996","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","nigrita",""
"Anisodactylus texanus",10.5,11.8,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","texanus",""
"Anisodactylus kirbyi",10.7,12.8,,,"Noonan 1996","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","kirbyi",""
"Anisodactylus merula",10.8,12.5,,,"Noonan 1973","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","merula",""
"Amara carinata",11,14.2,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Curtonotus","carinata",""
"Anisodactylus furvus",11,12.5,,,"Noonan 1996","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","furvus",""
"Anisodactylus carbonarius",11.4,13,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","carbonarius",""
"Pterostichus corvinus",11.5,15,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Melanius","corvinus",""
"Anisodactylus ovularis",11.8,13,,,"Noonan 1973","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","ovularis",""
"Anisodactylus melanopus",12,14,,,"Noonan 1996","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","melanopus",""
"Chlaenius emarginatus",12.1,18.1,,,"Bell 1960","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Anomoglossus","emarginatus",""
"Carabus chamissonis",12.4,16.5,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Diocarabus","chamissonis",""
"Chlaenius tomentosus",12.5,18,,,"Bell 1960","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Eurydactylus","tomentosus",""
"Diplocheila striatopunctata",12.5,17.9,,,"Ball 1959","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Diplocheila","Isorembus","striatopunctata",""
"Pterostichus coracinus",12.5,18,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Euferonia","coracinus",""
"Pterostichus stygicus",12.5,18,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Euferonia","stygicus",""
"Chlaenius platyderus",12.6,16.8,,,"Bell 1960","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaenius","platyderus",""
"Pterostichus rostratus",12.7,18,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Cylindrocharis","rostratus",""
"Pterostichus lachrymosus",14.5,17,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Euferonia","lachrymosus",""
"Carabus truncaticollis truncaticollis",14.8,17,,,"Lindroth 1969","Lindroth 1969; given for species, not subspecies",,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Aulonocarabus","truncaticollis","truncaticollis"
"Carabus maeander maeander",15,23.5,,,"Lindroth 1969","Lindroth 1969; given for species, not subspecies",,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Homoeocarabus","maeander","maeander"
"Pterostichus moestus",15,17,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Eosteropus","moestus",""
"Carabus serratus",16,24,,"dimorphic; wings full or reduced","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Hemicarabus","serratus",""
"Pterostichus novus",16,19.5,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Euferonia","novus",""
"Calosoma frigidum",17,27,,"macropterous","Gidaspow 1959","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Calosoma","frigidum",""
"Calosoma obsoletum",17,24,,"macropterous","Gidaspow 1959","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Chrysostigma","obsoletum",""
"Calosoma calidum",19,25,,"macropterous","Gidaspow 1959","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Chrysostigma","calidum",""
"Carabus taedatus taedatus",19,25,,,"Lindroth 1969","Lindroth 1969",,"hibernate as imago","subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Tanaocarabus","taedatus","taedatus"
"Pterostichus lama",19.5,28,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Hypherpes","lama",""
"Carabus vietinghoffii vietinghoffii",20,25,,,"Lindroth 1969","Lindroth 1969; given for species, not subspecies",,"hibernate as adult","subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Megodontus","vietinghoffii","vietinghoffii"
"Carabus vinctus",20,25,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Carabus","vinctus",""
"Carabus nemoralis nemoralis",21,26,,,"Lindroth 1969","Lindroth 1969; given for species, not subspecies",,"hibernate as adult","subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Archicarabus","nemoralis","nemoralis"
"Calosoma alternans",22,30,,,"Gidaspow 1959","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","",,"Calosoma","","alternans",""
"Calosoma externum",24,35,,"macropterous","Gidaspow 1959","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Callitropa","externum",""
"Carabus sylvosus",24,28,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Tanaocarabus","sylvosus",""
"Calosoma scrutator",25,36,,"macropterous","Gidaspow 1959","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Calodrepa","scrutator",""
"Agonoleptus conjunctus",,,,,"Bousquet and Messer 2010",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Agonoleptus","","conjunctus",""
"Agonoleptus rotundatus",,,,,"Bousquet and Messer 2010",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Agonoleptus","","rotundatus",""
"Agonoleptus thoracicus",,,,,"Bousquet and Messer 2010",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Agonoleptus","","thoracicus",""
"Agonum anthracinum",,,,,"Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","anthracinum",""
"Agonum canadense",,,,,"Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","canadense",""
"Agonum palustre",,,,,"Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","palustre",""
"Agonum sulcipenne",,,,,"Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","sulcipenne",""
"Amara angustatoides",,,,,"Hieke 2000a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Zezea","angustatoides",""
"Amara flebilis",,,,,"Hieke 2000a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Zezea","flebilis",""
"Amara lindrothi",,,,,"Hieke 1990",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Bradytus","lindrothi",""
"Amara quenseli quenseli",,,,,"Lindroth 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Paracelia","quenseli","quenseli"
"Amara rectangula ciudadensis",,,,,"Hieke 2001",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Xenocelia","rectangula","ciudadensis"
"Amblygnathus iripennis",,,,,"Ball and Maddison 1987",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Amblygnathus","","iripennis",""
"Amblygnathus mexicanus",,,,,"Ball and Maddison 1987",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Amblygnathus","","mexicanus",""
"Amerizus wingatei",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Amerizus","Amerizus","wingatei",""
"Amphasia interstitialis",,,,,"Noonan 1973",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Amphasia","Amphasia","interstitialis",""
"Amphasia sericea",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Amphasia","Pseudamphasia","sericea",""
"Anisodactylus agricola",,,,,"Noonan 1996",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anisodactylus","agricola",""
"Anisodactylus haplomus",,,,,"Noonan 1973",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","haplomus",""
"Anisodactylus opaculus",,,,,"Noonan 1973",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","opaculus",""
"Apenes lucidula lucidula",,,,,"Ball and Shpeley 2009",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Apenes","","lucidula","lucidula"
"Apenes opaca",,,,,"Other",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Apenes","","opaca",""
"Ardistomis schaumii",,,,,"Bousquet 2006b",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Ardistomis","","schaumii",""
"Aspidoglossa subangulata",,,,,"Arnett and Thomas 2001",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Aspidoglossa","","subangulata",""
"Athrostictus paganus",,,,,"Shpeley et al 2017",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","",,"Athrostictus","","paganus",""
"Badister notatus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Badister","notatus",""
"Badister obtusus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Badister","obtusus",""
"Badister parviceps",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Baudia","parviceps",""
"Badister transversus",,,,,"Ball 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Baudia","transversus",""
"Bembidion ampliatum",,,,,"Sproul and Maddison 2017",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","","ampliatum",""
"Bembidion nigrivestis",,,,,"Bousquet and Webster 2006",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Semicampa","nigrivestis",""
"Bembidion roosevelti",,,,,"Bousquet and Webster 2006",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Semicampa","roosevelti",""
"Bembidion transparens transparens",,,,,"Lindroth 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Diplocampa","transparens","transparens"
"Blethisa hudsonica",,,,,"Goulet et al 2009",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Elaphrinae","Elaphrini",,"Blethisa","","hudsonica",""
"Brachinus alternans",,,,,"Erwin 1970a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","alternans",""
"Brachinus imperialensis",,,,,"Erwin 1970a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","imperialensis",""
"Brachinus medius",,,,,"Erwin 1970a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","medius",""
"Brachinus perplexus",,,,,"Erwin 1970a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","perplexus",""
"Calosoma affine",,,,,"Gidaspow 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Chrysostigma","affine",""
"Calosoma morrisonii",,,,,"Gidaspow 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Chrysostigma","morrisonii",""
"Calosoma peregrinator",,,,,"Gidaspow 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Carabosoma","peregrinator",""
"Calosoma sayi",,,,,"Gidaspow 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Castrida","sayi",""
"Calosoma semilaeve",,,,,"Gidaspow 1959",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Calosoma","Chrysostigma","semilaeve",""
"Carabus goryi",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabinae","Carabini",,"Carabus","Carabus","goryi",""
"Chlaenius aestivus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaenius","aestivus",""
"Chlaenius alternatus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Agostenus","alternatus",""
"Chlaenius amoenus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Anomoglossus","amoenus",""
"Chlaenius erythropus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaenius","erythropus",""
"Chlaenius impunctifrons",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","impunctifrons",""
"Chlaenius laticollis",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaenius","laticollis",""
"Chlaenius nebraskensis",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","nebraskensis",""
"Chlaenius nemoralis",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","nemoralis",""
"Chlaenius oxygonus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","oxygonus",""
"Chlaenius pennsylvanicus pennsylvanicus",,,,,"Bell 1960",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","pennsylvanicus","pennsylvanicus"
"Chlaenius pimalicus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Eurydactylus","pimalicus",""
"Chlaenius pusillus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Anomoglossus","pusillus",""
"Chlaenius sericeus",,,,,"Bell 1960",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaenius","sericeus",""
"Chlaenius sericeus sericeus",,,,,"Bell 1960",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","",,"Chlaenius","","sericeus","sericeus"
"Chlaenius tricolor tricolor",,,,,"Bell 1960",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini",,"Chlaenius","Chlaeniellus","tricolor","tricolor"
"Cicindela abdominalis",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindelidia","abdominalis",""
"Cicindela obsoleta",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindelidia","obsoleta",""
"Cicindela pulchra pulchra",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindela","pulchra","pulchra"
"Cicindela punctulata punctulata",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindelidia","punctulata","punctulata"
"Cicindela purpurea cimarrona",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindela","purpurea","cimarrona"
"Cicindela purpurea purpurea",,,,"macropterous, although some flightless specimens were seen that had fused elytra (ny)","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindela","purpurea","purpurea"
"Cicindela sedecimpunctata sedecimpunctata",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindelidia","sedecimpunctata","sedecimpunctata"
"Cicindela sexguttata",,,,"macropterous","Pearson et al 2006",,"Larochelle and Lariviere 2001",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini",,"Cicindela","Cicindela","sexguttata",""
"Clinidium baldufi",,,,,"Bell and Bell 1975",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Rhysodidae","","",,"Clinidium","","baldufi",""
"Clivina fossor",,,,,"Bousquet 1997",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Clivina","Clivina","fossor",""
"Clivina fossor fossor",,,,,"Lindroth 1969",,,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Clivina","Clivina","fossor","fossor"
"Clivina impressefrons",,,,,"Bousquet 1997",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Clivina","Clivina","impressefrons",""
"Clivina planicollis",,,,,"Bousquet and Skelley 2012",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Clivinini",,"Clivina","Clivina","planicollis",""
"Colliuris pensylvanica",,,,,"Bousquet 2010a",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Odacanthini",,"Colliuris","Cosnania","pensylvanica",""
"Cratacanthus dubius",,,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Cratacanthus","","dubius",""
"Cyclotrachelus alternans",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","alternans",""
"Cyclotrachelus brevoorti",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","brevoorti",""
"Cyclotrachelus constrictus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","constrictus",""
"Cyclotrachelus convivus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","convivus",""
"Cyclotrachelus deceptus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Evarthrus","deceptus",""
"Cyclotrachelus dejeanellus",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","dejeanellus",""
"Cyclotrachelus faber",,,,,"Freitag 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Cyclotrachelus","Cyclotrachelus","faber",""
